"ID" "genotype" "environment" "TS" "cage" "EPM.distance" "EPM.entries.OA" "EPM.duration.OA" "EPM.entries.CA" "EPM.duration.CA" "OFT.distance" "OFT.entries" "OFT.duration.center" "FET.outside.time" "FET.entries" "FET.distance" "FET.latency" "LM.duration1" "LM.distance1" "LM.mistakes1" "LM.duration2" "LM.distance2" "LM.mistakes2"
"11ALR" "C57BL/6J" "complex" "non-trained" "11A" 10.785 18 123.1 11 134.2 34.982 14 26.4 888.4 1 1.645 244.3 26.4 1.949 6 5.6 0.164 1
"11AR" "C57BL/6J" "complex" "trained" "11A" 9.156 15 96.2 12 129.7 26.791 6 8.9 591.3 31 24.367 33.4 95.6 4.854 17 90.5 4.61 16
"11BL" "C57BL/6J" "scarce" "trained" "11B" 7.161 8 45.2 13 205.8 46.562 15 11.2 711.3 10 7.147 92.2 126.2 4.534 17 174.1 10.027 33
"11BLR" "C57BL/6J" "scarce" "non-trained" "11B" 8.04 13 72.6 12 157.8 10.283 2 1.5 900 0 0 NA NA NA NA NA NA NA
"11CL" "B6D2F1N" "scarce" "trained" "11C" 8.554 1 5.5 21 217.6 26.613 6 12 673.2 8 11.343 185.9 90.1 2.957 9 18.5 0.53 2
"11CLR" "B6D2F1N" "scarce" "non-trained" "11C" 9.282 15 59 22 151.7 31.884 18 27.7 508.9 10 23.119 106.4 76.3 2.635 6 10.7 0.485 1
"11DLR" "B6D2F1N" "complex" "non-trained" "11D" 9.792 7 14.8 26 166.2 34.347 12 22 830 12 1.717 200.2 32.9 1.888 7 6.2 0.3 1
"12AR" "C57BL/6J" "scarce" "non-trained" "12A" 9.574 14 75.8 17 129.3 41.561 19 24.9 900 0 0 NA NA NA NA NA NA NA
"12BLR" "B6D2F1N" "scarce" "trained" "12B" 7.392 6 20.4 17 213.5 27.588 12 26 677.5 16 18.946 272.2 154 4.127 10 17.5 0.944 2
"12BR" "B6D2F1N" "scarce" "non-trained" "12B" 8.7 11 65.5 16 182.3 14.907 1 1 600.5 14 21.446 222.3 176.4 4.492 12 22.4 0.554 1
"12CR" "B6D2F1N" "complex" "non-trained" "12C" 10.058 9 56.4 16 139.2 25.176 16 28.2 721.9 18 16.4 48.6 108.1 3.841 12 5.6 0.184 1
"12DLR" "C57BL/6J" "complex" "trained" "12D" 11.634 24 123.4 15 101.7 42.868 19 22.6 900 0 0 NA 71 3.811 12 5.4 0.19 2
"12DR" "C57BL/6J" "complex" "non-trained" "12D" 9.612 24 124.3 10 86.3 30.179 5 8.3 655.9 16 17.487 130.6 NA NA NA NA NA NA
"13AL" "B6D2F1N" "scarce" "non-trained" "13A" 9.94 10 62.6 15 188.2 36.805 17 23.6 537.6 11 19.568 441.1 74.9 3.333 7 34.4 1.005 3
"13AR" "B6D2F1N" "scarce" "trained" "13A" 10.365 7 35.6 19 187.2 13.303 3 4.3 640.7 9 10.195 437.1 84.3 2.561 7 34 0.577 1
"13BL" "B6D2F1N" "complex" "non-trained" "13B" 10.125 10 58.4 21 156.2 16.153 3 5.4 645.1 22 21.431 67.5 98.6 4.352 13 16.1 0.841 2
"13BLR" "B6D2F1N" "complex" "trained" "13B" 2.259 0 0 7 274.2 31.629 4 5.2 669.8 9 7.488 553.1 36.7 1.648 6 28.2 1.858 7
"13CL" "C57BL/6J" "complex" "non-trained" "13C" 7.415 18 152.6 9 58.7 45.545 15 16.2 699.7 21 25.402 97.9 48.3 2.126 9 9 0.462 1
"13CLR" "C57BL/6J" "complex" "trained" "13C" 12.015 19 102.1 14 120.9 36.382 16 22.2 523 24 27.343 112.5 107.9 5.131 19 17.7 0.907 4
"13DL" "C57BL/6J" "scarce" "non-trained" "13D" 8.062 11 78.7 15 156.2 33.613 14 19 900 0 0 NA 49.4 1.605 5 80.5 3.346 11
"21ALR" "C57BL/6J" "scarce" "non-trained" "21A" 10.748 16 81.6 15 131.4 27.645 15 21.4 566.4 18 21.591 105.4 103.1 5.492 16 9.6 0.453 2
"21AR" "C57BL/6J" "scarce" "trained" "21A" 12.042 17 62.4 15 181.2 36.101 9 7.9 900 0 0 NA 84.1 5.288 19 9.2 0.63 1
"21BLR" "B6D2F1N" "complex" "non-trained" "21B" 8.905 13 72.1 23 136.7 36.552 15 25.3 694.6 22 19.98 115 60.1 2.565 10 28.5 1.641 4
"21BR" "B6D2F1N" "complex" "trained" "21B" 11.412 7 57.6 25 168.6 16.974 5 3.5 664.9 24 23.149 51 10.1 0.538 1 8.7 0.491 1
"21CLR" "C57BL/6J" "complex" "non-trained" "21C" 7.524 9 108.4 9 134.1 34.145 14 25.2 737.3 18 16.344 47.7 59.5 3.948 14 10.5 0.414 1
"21CR" "C57BL/6J" "complex" "trained" "21C" 10.237 18 158.9 13 70.8 36.357 13 22.2 603.7 26 24.384 21.9 17.7 1.178 4 12.6 0.84 2
"21DLR" "B6D2F1N" "scarce" "non-trained" "21D" 6.457 1 9.7 14 244.1 27.009 6 13.1 892.8 1 0.71 276.1 183.2 6.195 21 7.6 0.236 1
"21DR" "B6D2F1N" "scarce" "trained" "21D" 7.015 3 16.9 18 203.7 21.737 3 3.9 895.6 1 0.167 170.2 88.1 0.799 2 18.5 0.555 1
"22AL" "B6D2F1N" "scarce" "trained" "22A" 7.904 3 25.1 17 213 22.104 2 4.1 794.7 4 4.831 108.2 15.4 0.499 1 10 0.59 1
"22AR" "B6D2F1N" "scarce" "non-trained" "22A" 11.745 10 72.7 18 163.7 32.251 12 17.8 699 17 18.133 164.4 97.3 3.838 9 13.4 0.707 2
"22BLR" "C57BL/6J" "complex" "trained" "22B" 9.092 13 109.1 11 95.8 21.093 9 6.7 621.7 27 23.191 57.9 19.8 0.986 5 28.3 1.862 9
"22BR" "C57BL/6J" "complex" "non-trained" "22B" 11.182 23 143.8 17 72.6 28.396 11 14.5 687.1 22 13.582 394.6 8.6 0.437 2 20.7 1.744 5
"22CLR" "C57BL/6J" "scarce" "non-trained" "22C" 9.224 15 152.1 15 76.9 34.88 14 24.3 700.7 10 12.404 314.9 66.7 2.699 10 21.7 0.171 0
"22DL" "B6D2F1N" "complex" "trained" "22D" 8.678 5 36.5 18 201.8 27.566 6 13.7 688.7 16 14.688 89 43.9 1.799 5 14.5 0.709 3
"22DR" "B6D2F1N" "complex" "non-trained" "22D" 11.348 9 58.9 19 127.3 39.115 22 39.4 715.1 28 22.716 45.7 38.5 2.849 9 6 0.203 1
"23AL" "B6D2F1N" "scarce" "non-trained" "23A" 8.462 10 103.2 18 111.9 35.155 10 9.6 767.1 12 11.046 68.7 157.7 7.528 20 10.3 0.273 0
"23ALR" "B6D2F1N" "scarce" "trained" "23A" 10.791 6 38.8 24 171.2 26.284 5 15.2 738.5 6 6.842 245.8 158 4.582 14 10.4 0.298 1
"23BL" "B6D2F1N" "complex" "non-trained" "23B" 10.389 10 52.8 21 149 16.343 3 9.8 629 18 20.881 27.7 189.1 6.175 21 22.9 1.274 5
"23BR" "B6D2F1N" "complex" "trained" "23B" 9.15 5 51.5 17 197.5 45.626 17 17.8 692.8 15 21.777 50.7 14.6 0.631 1 6 0.219 0
"23CL" "C57BL/6J" "complex" "non-trained" "23C" 12.757 24 100.9 19 133.9 40.683 17 15.7 900 0 0 NA 23.4 1.22 5 23.5 1.401 6
"23CLR" "C57BL/6J" "complex" "trained" "23C" 9.959 23 117.3 14 107.8 25.699 4 6.8 520.6 14 16.949 320 52.3 2.519 11 60 2.54 11
"23DL" "C57BL/6J" "scarce" "non-trained" "23D" 12.402 18 90.1 15 132.5 51.075 13 12.8 815.5 7 4.956 349.3 21.7 0.948 2 12.8 0.507 2
"23DLR" "C57BL/6J" "scarce" "trained" "23D" 12.246 16 59 21 155.1 32.323 10 16 666 13 13.615 453.8 83.1 4.308 12 10.4 0.456 1
